tenure;N_iterations;Mean;Max;Variance;Avg_time
1;1;0.41323;0.989672;0.0497998;1.28
2;1;0.385088;0.973137;0.0543923;1.3
3;1;0.410737;0.985242;0.0534232;1.22
4;1;0.387635;0.920242;0.0445896;1.25
5;1;0.378804;0.859925;0.053324;1.22
6;1;0.410261;0.942464;0.0592285;1.28
7;1;0.387396;0.868589;0.0384895;1.21
8;1;0.404342;0.831353;0.0480064;1.32
9;1;0.373804;0.89802;0.0526966;1.22
10;1;0.404806;0.913034;0.0533403;1.25
11;1;0.3963;0.881353;0.0404772;1.22
12;1;0.387115;0.871353;0.0549827;1.22
13;1;0.375316;0.844131;0.0455727;1.18
14;1;0.369809;0.865639;0.0526851;1.14
15;1;0.389457;0.893258;0.0495379;1.2
16;1;0.365953;0.864686;0.0404497;1.25
17;1;0.415662;0.851949;0.0497054;1.25
18;1;0.375636;0.931353;0.0424821;1.19
19;1;0.40221;0.859925;0.0441465;1.24
1;10;0.392683;0.883418;0.0457939;12.16
2;10;0.405579;0.893258;0.053295;11.95
3;10;0.387626;0.865269;0.0509407;12.16
4;10;0.396119;0.89802;0.0534923;12.09
5;10;0.363919;0.817612;0.0419073;12.15
6;10;0.37741;0.881353;0.052927;12.03
7;10;0.353353;0.856339;0.0465859;12.2
8;10;0.397849;0.879338;0.0449132;12.01
9;10;0.366149;0.831036;0.0390397;12.02
10;10;0.39312;0.919131;0.0488561;11.8
11;10;0.323432;0.879362;0.0433493;11.81
12;10;0.396451;0.881353;0.042467;11.75
13;10;0.327269;0.869964;0.0347222;11.94
14;10;0.388889;1.03135;0.0481963;11.73
15;10;0.395833;0.902262;0.052348;11.87
16;10;0.343575;0.818244;0.0488464;11.8
17;10;0.380405;0.837306;0.0484498;12.01
18;10;0.420517;0.958675;0.0536057;11.8
19;10;0.395577;1.01267;0.0521673;11.83
1;100;0.407833;0.96306;0.0542112;117.49
2;100;0.381815;0.864686;0.0494951;121.01
3;100;0.401112;0.911072;0.0528315;119.22
4;100;0.386041;1.00814;0.0513038;131.32
5;100;0.371751;0.886909;0.0521138;122.46
6;100;0.399193;0.79802;0.0468654;128.06
7;100;0.363967;0.856353;0.0473432;120.69
8;100;0.369715;0.835463;0.044138;126.72
9;100;0.37907;0.847702;0.0458923;120.54
10;100;0.336459;0.88818;0.050841;117.75
11;100;0.389544;0.962028;0.0487963;115.6
12;100;0.412012;0.846029;0.0488079;118.07
13;100;0.375496;0.864686;0.044103;117.65
14;100;0.392454;0.886429;0.0554219;121.25
15;100;0.416376;0.863537;0.0481301;125.99
16;100;0.430407;0.937518;0.0490358;118.95
17;100;0.372399;0.864686;0.0521018;118.51
18;100;0.382347;0.929753;0.0466695;118.67
19;100;0.408746;0.942464;0.0590231;120.58
